model_id,model_design,seed,constant_alpha,constant_IFR,constant_R0,double_IFR_0,half_alpha_0,half_R0_0,half_S_0,max_t,use_seroprev,use_tests
91,23,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
92,23,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,TRUE
93,24,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
94,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
95,24,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
96,24,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE
97,25,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
98,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
99,25,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
100,25,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,TRUE
101,26,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
102,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
103,26,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
104,26,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,TRUE
105,27,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
106,27,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
107,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
108,27,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
109,28,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
110,28,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
111,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
112,28,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
113,29,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
114,29,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
115,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
116,29,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
117,30,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
118,30,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
119,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
120,30,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
121,31,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
122,31,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
123,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
124,31,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
125,32,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
126,32,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
127,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
